2.4908 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
2.4910 	ERROR 	Failed to load any of the audioLibs: ['sounddevice']. Falling back to PsychToolbox ('ptb') backend for sound. Be sure to add 'ptb' to preferences to avoid seeing this message again.
2.6000 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice'] (in that order).
9.2223 	INFO 	Loaded monitor calibration from ['2024_08_06 20:13']
9.4876 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4888 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4900 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4918 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4935 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4941 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4952 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4969 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4972 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4975 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4987 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4999 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5009 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5021 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5030 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5043 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5054 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5057 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5062 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5079 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5082 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5096 	DEBUG 	Uploading Texture Font fontname to graphics card
9.5140 	DEBUG 	Upload of Texture Font fontname complete
9.5225 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5241 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5256 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5258 	DEBUG 	Uploading Texture Font fontname to graphics card
9.5284 	DEBUG 	Upload of Texture Font fontname complete
10.6164 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

